survey,item,instruction,item_text,session,choice_options
affect,NA,How are you feeling right now?,NA,postscan,"Extremely negative, Moderately negative, Slightly negative, Neither positive nor negative, Slightly positive, Moderately positive, Extremely positive"
age,NA,How old are you (in years)?,NA,baseline,text entry
age,NA,How old are you (in years)?,NA,followup_6months,text entry
age,NA,How old are you (in years)?,NA,followup_12months,text entry
alc_change,NA,"On the scale below, please choose the number that best describes how you feel right now.",1,baseline,"Slider: 0 - Never think about my drinking, Sometimes I think about drinking less, I have decided to drink less, I am already trying to cut back on my drinking, 10 - My drinking has changed. I now drink less than before"
alc_change,NA,"On the scale below, please choose the number that best describes how you feel right now.",1,prescan,"Slider: 0 - Never think about my drinking, Sometimes I think about drinking less, I have decided to drink less, I am already trying to cut back on my drinking, 10 - My drinking has changed. I now drink less than before"
alc_change,NA,"On the scale below, please choose the number that best describes how you feel right now.",1,postscan,"Slider: 0 - Never think about my drinking, Sometimes I think about drinking less, I have decided to drink less, I am already trying to cut back on my drinking, 10 - My drinking has changed. I now drink less than before"
alc_change,NA,"On the scale below, please choose the number that best describes how you feel right now.",1,followup_6months,"Slider: 0 - Never think about my drinking, Sometimes I think about drinking less, I have decided to drink less, I am already trying to cut back on my drinking, 10 - My drinking has changed. I now drink less than before"
alc_change,NA,"On the scale below, please choose the number that best describes how you feel right now.",1,followup_12months,"Slider: 0 - Never think about my drinking, Sometimes I think about drinking less, I have decided to drink less, I am already trying to cut back on my drinking, 10 - My drinking has changed. I now drink less than before"
beer_amount,NA,"On those days you do drink beer/cider, about how many glasses or cans (12oz) do you typically have?",NA,prescan,text entry
beer_brands,NA,Please state your usual brand(s).,NA,prescan,text entry
beer_week_amount,NA,"How many glasses of beer/cider do you drink in a week, in total?",NA,prescan,text entry
close_risk,1,What do you consider to be the probability of this person getting infected with COVID-19?,,covid,"Slider: 1 - Extremely unlikely, 7 - Extremely likely"
coping,1,"We are interested in how people respond to difficult events in their lives and the negative emotions associated with them. This questionnaire asks you to indicate how you have managed your emotions in response to the COVID-19 pandemic. Obviously, different people deal with things in different ways, but we are interested in how YOU have tried to deal with the challenges posed by the COVID-19 pandemic and the emotions associated with it. Please indicate how often you’ve used any of the strategies below in the last two weeks. Don't answer on the basis of whether it seems to be working or not — just whether or not you have been doing it. Make your answers as true FOR YOU as you can.",I avoided negative information in the media,covid,"Slider: 0 - None of the time, 25 - Rarely, 50 - Sometimes, 75 - Often, 100 - All of the time"
