survey,item,instruction,item_text,session,choice_options
RPI,1_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Some people go along with their friends just to keep their friends happy.,prescan,"sort of true for me, really true for me"
RPI,1_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ","Other people refuse to go along with what their friends want to do, even though they know it will make their friends unhappy.",prescan,"sort of true for me, really true for me"
RPI,2_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Some people think it's more important to be an individual than to fit in with the crowd.,prescan,"sort of true for me, really true for me"
RPI,2_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Other people think it is more important to fit in with the crowd than to stand out as an individual.,prescan,"sort of true for me, really true for me"
RPI,3_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ","For some people, it's pretty easy for their friends to get them to change their mind.",prescan,"sort of true for me, really true for me"
RPI,3_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ","For other people, it's pretty hard for their friends to get them to change their mind.",prescan,"sort of true for me, really true for me"
RPI,4_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Some people would do something that they knew was wrong just to stay on their friends' good side.,prescan,"sort of true for me, really true for me"
RPI,4_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Other people would not do something they knew was wrong just to stay on their friends' good side.,prescan,"sort of true for me, really true for me"
RPI,5_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Some people hide their true opinion from their friends if they think their friends will make fun of them because of it.,prescan,"sort of true for me, really true for me"
RPI,5_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ","Other people will say their true opinion in front of their friends, even if they know their friends will make fun of them because of it.",prescan,"sort of true for me, really true for me"
RPI,6_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Some people will not break the law just because their friends say that they would.,prescan,"sort of true for me, really true for me"
RPI,6_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Other people would break the law if their friends said that they would break it.,prescan,"sort of true for me, really true for me"
RPI,7_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ","Some people change the way they act so much when they are with their friends that they wonder who they ""really are"".",prescan,"sort of true for me, really true for me"
RPI,7_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Other people act the same way when they are alone as they do when they are with their friends.,prescan,"sort of true for me, really true for me"
RPI,8_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Some people take more risks when they are with their friends than they do when they are alone.,prescan,"sort of true for me, really true for me"
RPI,8_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Other people act just as risky when they are alone as when they are with their friends.,prescan,"sort of true for me, really true for me"
RPI,9_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Some people say things they don't really believe because they think it will make their friends respect them more.,prescan,"sort of true for me, really true for me"
RPI,9_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Other people would not say things they didn't really believe just to get their friends to respect them more.,prescan,"sort of true for me, really true for me"
RPI,10_1,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Some people think it's better to be an individual even if people will be angry at you for going against the crowd.,prescan,"sort of true for me, really true for me"
RPI,10_2,"Please decide which sort of person you are most like - the one described on the right or the one described on the left. Then decide if that is ""sort of true"" or ""really true"" for you, and mark that choice. ",Other people think it's better to go along with the crowd than to make people angry at you.,prescan,"sort of true for me, really true for me"
